Titlu,Gen,An,Actor
The Last Voyage of the Star Galleon,comedie,2000,Tom Hanks
The Ghosts of Glenshire Manor,drama,2001,Meryl Streep
The Secret of the Lost City,horror,2003,Denzel Washington
Return to Atlantis,western,2016,Viola Davis
The Time Traveler's Daughter,comedie,1997,Brad Pitt
Escape from the Quantum Realm,musical,2010,Jennifer Lawrence
The Invisible Assassin,drama,1991,Leonardo DiCaprio
The Mind-Reading Detective,actiune,2019,Sandra Bullock
The Curse of the Jade Scorpion,western,1994,Jennifer Lawrence
The Electric Jungle,drama,2008,Emma Stone
Fourth Dimension Experiment,actiune,2002,Robert De Niro
Robot Rebellion,horror,2015,Charlize Theron
Beyond Event Horizon,comedie,2005,Will Smith
Quantum Paradox,science fiction,2013,Lupita Nyong'o
Eternal Flame,musical,2018,Joaquin Phoenix
Dark Side: Moon,documentar,2006,Nicole Kidman
Phantom: Opera House,drama,1985,Ryan Gosling
Lost World: Zorin,actiune,1999,Julia Roberts
Time Traveler's Dilemma,horror,2012,Mahershala Ali
Final Frontier Crusade,comedie,1975,Cate Blanchett
Enigma: Time Capsule,animatie,2020,Meryl Streep
Secret: Crystal Skull,animatie,2009,Denzel Washington
Island: Forbidden,science fiction,1982,Viola Davis
Ghost Ship: Bermuda Triangle,comedie,1990,Brad Pitt
Shadowy Depths,actiune,1979,Jennifer Lawrence
Chronicles: Time Keepers,horror,1988,Leonardo DiCaprio
The Curse of the Haunted Theater,comedie,2022,Lupita Nyong'o
Dance into the Wild West,drama,2024,Emma Stone
The Lost Kingdom of Eldorado,horror,2021,Robert Pattinson
Beyond the Limits of Time,western,2000,Saoirse Ronan
The Haunting of Glenmore Castle,comedie,2020,Tilda Swinton
Escape from the Underworld,musical,2023,Daniel Kaluuya
The Last Days of Atlantis,drama,2008,Michael B. Jordan
Time Warp to the Future,actiune,2001,John Boyega
The Forbidden Planet Experiment,western,2024,Rebel Wilson
Revenge of the Time Traveler,drama,2023,Keanu Reeves
The Mysterious Crystal Caverns,actiune,2022,Gal Gadot
The Enigma of the Lost Pyramid,horror,2021,Tom Hardy
The Shadow Realm,comedie,2007,Florence Pugh
The Curse of the Black Forest,science fiction,2004,Margot Robbie
The Electric Circus,musical,2022,Zendaya
The Last Voyage to the New World,documentar,2021,Chris Hemsworth
The Ghosts of Castle Dracula,drama,2023,Anya Taylor-Joy
The Secret of the Hidden Temple,actiune,2022,Jason Momoa
The Quantum Conspiracy,horror,2005,Emily Blunt
The Return of the Outlaw,comedie,2006,Christian Bale
The Island of the Damned,animatie,2003,Octavia Spencer
The Curse of the Witch's Tomb,animatie,2002,Daisy Ridley
The Dark Side of the Ocean,science fiction,2006,Tom Holland
The Mind's Eye,comedie,1999,Lupita Nyong'o
The Lost City of the Aztecs,actiune,1998,Michael Fassbender
Robot Uprising,actiune,1994,Brie Larson
The Haunted Forest,horror,2021,Florence Pugh
The Quantum Paradox 2: Beyond Time,comedie,2021,Oscar Isaac
The Last Crusade,animatie,2021,Emma Watson
The Enigma of the Crystal Skull 2,animatie,2000,Denzel Washington
